bundle_final_price,bundle_url,bundle_price,bundle_name,bundle_id,items,bundle_discount
$66.46,http://store.steampowered.com/bundle/450/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$73.86,Dharker Studio 2015 Complete,450,"[{'genre': 'Adventure, Indie, RPG', 'item_id': '326950', 'discounted_price': '$8.99', 'item_url': 'http://store.steampowered.com/app/326950', 'item_name': 'Sword of Asumi'}, {'genre': 'Adventure, Indie, RPG', 'item_id': '331490', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/331490', 'item_name': 'Sword of Asumi - Soundtrack'}, {'genre': 'Adventure, Indie, RPG', 'item_id': '331491', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/331491', 'item_name': 'Sword of Asumi - Graphic Novel'}, {'genre': 'Adventure, Indie, RPG', 'item_id': '331492', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/331492', 'item_name': 'Sword of Asumi - Character Creator'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '348540', 'discounted_price': '$12.99', 'item_url': 'http://store.steampowered.com/app/348540', 'item_name': 'Divine Slice of Life'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '352010', 'discounted_price': '$12.99', 'item_url': 'http://store.steampowered.com/app/352010', 'item_name': 'Beach Bounce'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '390470', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/390470', 'item_name': 'Divine Slice of Life - Soundtrack'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '394050', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/394050', 'item_name': 'Beach Bounce - Soundtrack'}, {'genre': 'Casual, Indie', 'item_id': '398100', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/398100', 'item_name': 'Highschool Romance'}, {'genre': 'Adventure, Indie', 'item_id': '408770', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/408770', 'item_name': 'Highschool Possession'}, {'genre': 'Action, Casual, Indie', 'item_id': '387110', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/387110', 'item_name': 'Shmup Love Boom'}, {'genre': 'Action, Indie', 'item_id': '387120', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/387120', 'item_name': 'Shmup Love Boom - Soundtrack'}, {'genre': 'Action, Indie', 'item_id': '396610', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/396610', 'item_name': 'Quantum Flux'}, {'genre': 'Action, Indie', 'item_id': '396620', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/396620', 'item_name': 'Quantum Flux - Soundtrack'}]",10%
$20.15,http://store.steampowered.com/bundle/1473/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$25.87,"Naruto Shippuden Uncut Season 4, Vol. 3",1473,"[{'genre': '', 'item_id': '528360', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528360', 'item_name': 'Naruto Shippuden Uncut: The Man Who Died Twice'}, {'genre': '', 'item_id': '528361', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528361', 'item_name': 'Naruto Shippuden Uncut: The Worst Three-Legged Race'}, {'genre': '', 'item_id': '528362', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528362', 'item_name': ""Naruto Shippuden Uncut: Team 10's Teamwork""}, {'genre': '', 'item_id': '528363', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528363', 'item_name': 'Naruto Shippuden Uncut: Drive Towards Darkness'}, {'genre': '', 'item_id': '528364', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528364', 'item_name': 'Naruto Shippuden Uncut: The Sixth Hokage Danzo'}, {'genre': '', 'item_id': '528365', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528365', 'item_name': 'Naruto Shippuden Uncut: The Eve of the Five Kage Summit'}, {'genre': '', 'item_id': '528366', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528366', 'item_name': 'Naruto Shippuden Uncut: Enter the Five Kage!'}, {'genre': '', 'item_id': '528367', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528367', 'item_name': ""Naruto Shippuden Uncut: Naruto's Plea""}, {'genre': '', 'item_id': '528368', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528368', 'item_name': 'Naruto Shippuden Uncut: A Painful Decision'}, {'genre': '', 'item_id': '528369', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528369', 'item_name': 'Naruto Shippuden Uncut: Racing Lightning'}, {'genre': '', 'item_id': '528370', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528370', 'item_name': ""Naruto Shippuden Uncut: Sasuke's Ninja Way""}, {'genre': '', 'item_id': '528371', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528371', 'item_name': 'Naruto Shippuden Uncut: Power of the Five Kage'}, {'genre': '', 'item_id': '528372', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528372', 'item_name': 'Naruto Shippuden Uncut: Declaration of War'}]",22%
$20.15,http://store.steampowered.com/bundle/1474/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$25.87,"Naruto Shippuden Uncut Season 4, Vol. 4",1474,"[{'genre': '', 'item_id': '528380', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528380', 'item_name': ""Naruto Shippuden Uncut: Sakura's Feelings""}, {'genre': '', 'item_id': '528381', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528381', 'item_name': 'Naruto Shippuden Uncut: The Tailed Beast vs The Tailless Tailed Beast'}, {'genre': '', 'item_id': '528382', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528382', 'item_name': ""Naruto Shippuden Uncut: As One's Friend""}, {'genre': '', 'item_id': '528383', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528383', 'item_name': ""Naruto Shippuden Uncut: Danzo's Right Arm""}, {'genre': '', 'item_id': '528384', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528384', 'item_name': 'Naruto Shippuden Uncut: The Forbidden Visual Jutsu'}, {'genre': '', 'item_id': '528385', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528385', 'item_name': 'Naruto Shippuden Uncut: Danzo Shimura'}, {'genre': '', 'item_id': '528386', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528386', 'item_name': ""Naruto Shippuden Uncut: Sakura's Resolve""}, {'genre': '', 'item_id': '528387', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528387', 'item_name': 'Naruto Shippuden Uncut: Lost Bonds'}, {'genre': '', 'item_id': '528388', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528388', 'item_name': 'Naruto Shippuden Uncut: The Burden'}, {'genre': '', 'item_id': '528389', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528389', 'item_name': 'Naruto Shippuden Uncut: Two Fates'}, {'genre': '', 'item_id': '528390', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528390', 'item_name': 'Naruto Shippuden Uncut: High-Level Shinobi'}, {'genre': '', 'item_id': '528391', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528391', 'item_name': 'Naruto Shippuden Uncut: Infiltrator'}, {'genre': '', 'item_id': '528392', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/528392', 'item_name': 'Naruto Shippuden Uncut: The Five Great Nations Mobilize'}]",22%
$15.17,http://store.steampowered.com/bundle/1437/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$25.35,Pixel Puzzles Ultimate: Starter Kit,1437,"[{'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '476010', 'discounted_price': '$3.59', 'item_url': 'http://store.steampowered.com/app/476010', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Dinosaurs'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '480590', 'discounted_price': '$1.79', 'item_url': 'http://store.steampowered.com/app/480590', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Owls'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '480593', 'discounted_price': '$3.39', 'item_url': 'http://store.steampowered.com/app/480593', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Korea'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '480594', 'discounted_price': '$3.39', 'item_url': 'http://store.steampowered.com/app/480594', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Dogs'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '502841', 'discounted_price': '$2.54', 'item_url': 'http://store.steampowered.com/app/502841', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Mountains'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '509520', 'discounted_price': '$1.79', 'item_url': 'http://store.steampowered.com/app/509520', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Da Vinci'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '509521', 'discounted_price': '$2.69', 'item_url': 'http://store.steampowered.com/app/509521', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Rio'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '509522', 'discounted_price': '$1.79', 'item_url': 'http://store.steampowered.com/app/509522', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Savanna'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '509900', 'discounted_price': '$3.39', 'item_url': 'http://store.steampowered.com/app/509900', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Thailand'}, {'genre': 'Casual, Free to Play, Indie, Simulation, Sports, Strategy', 'item_id': '467770', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/467770', 'item_name': 'Pixel Puzzles Ultimate - Puzzle Pack: Ukiyo-e'}]",40%
$20.15,http://store.steampowered.com/bundle/1466/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$25.87,"Naruto Shippuden Uncut Season 4, Vol. 1",1466,"[{'genre': '', 'item_id': '527830', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527830', 'item_name': 'Naruto Shippuden Uncut: Planetary Devastation'}, {'genre': '', 'item_id': '527831', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527831', 'item_name': 'Naruto Shippuden Uncut: Fourth Hokage'}, {'genre': '', 'item_id': '527832', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527832', 'item_name': 'Naruto Shippuden Uncut: The Two Students'}, {'genre': '', 'item_id': '527833', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527833', 'item_name': ""Naruto Shippuden Uncut: Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 1""}, {'genre': '', 'item_id': '527834', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527834', 'item_name': ""Naruto Shippuden Uncut: Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 2""}, {'genre': '', 'item_id': '527835', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527835', 'item_name': 'Naruto Shippuden Uncut: Meeting'}, {'genre': '', 'item_id': '527836', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527836', 'item_name': 'Naruto Shippuden Uncut: Origin of Pain'}, {'genre': '', 'item_id': '527837', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527837', 'item_name': 'Naruto Shippuden Uncut: The Tale of Naruto Uzumaki'}, {'genre': '', 'item_id': '527838', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527838', 'item_name': 'Naruto Shippuden Uncut: Hero of the Hidden Leaf'}, {'genre': '', 'item_id': '527839', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527839', 'item_name': 'Naruto Shippuden Uncut: Rookie Teacher Iruka'}, {'genre': '', 'item_id': '527840', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527840', 'item_name': ""Naruto Shippuden Uncut: Iruka's Ordeal""}, {'genre': '', 'item_id': '527841', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527841', 'item_name': ""Naruto Shippuden Uncut: Iruka's Decision""}, {'genre': '', 'item_id': '527842', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/527842', 'item_name': 'Naruto Shippuden Uncut: Kakashi Hatake, The Jonin in Charge'}]",22%
$25.20,http://store.steampowered.com/bundle/1478/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$71.91,Cosmi Fun Pack,1478,"[{'genre': 'Casual, Simulation', 'item_id': '33720', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/33720', 'item_name': 'Paws and Claws: Pet Vet'}, {'genre': 'Casual, Simulation', 'item_id': '33710', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/33710', 'item_name': 'Paws and Claws: Pet School'}, {'genre': 'Casual, Simulation', 'item_id': '33700', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/33700', 'item_name': 'Paws and Claws: Pampered Pets'}, {'genre': 'Casual, Simulation', 'item_id': '12660', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/12660', 'item_name': 'Miss Popularity'}, {'genre': 'Casual, Simulation', 'item_id': '12650', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/12650', 'item_name': 'Fetch It Again'}, {'genre': 'Casual', 'item_id': '33760', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/33760', 'item_name': 'The Search for Amelia Earhart'}, {'genre': 'Casual', 'item_id': '12540', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/12540', 'item_name': 'Mahjongg Investigations: Under Suspicion'}, {'genre': 'Simulation', 'item_id': '12560', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/12560', 'item_name': 'Ride! Carnival Tycoon'}, {'genre': 'Simulation', 'item_id': '12670', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/12670', 'item_name': 'Mission Runway'}]",65%
$29.66,http://store.steampowered.com/bundle/1482/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$32.96,Two Tribes Complete Pack!,1482,"[{'genre': 'Casual, Indie', 'item_id': '38700', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/38700', 'item_name': 'Toki Tori'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '201420', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/201420', 'item_name': 'Toki Tori 2+'}, {'genre': 'Strategy, Indie, Casual', 'item_id': '38720', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/38720', 'item_name': 'RUSH'}, {'genre': 'Action, Indie', 'item_id': '38740', 'discounted_price': '$7.99', 'item_url': 'http://store.steampowered.com/app/38740', 'item_name': 'EDGE'}]",10%
$25.17,http://store.steampowered.com/bundle/1396/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$41.97,"Expendables 1, 2, & 3",1396,"[{'genre': '', 'item_id': '417630', 'discounted_price': '$13.99', 'item_url': 'http://store.steampowered.com/app/417630', 'item_name': 'The Expendables'}, {'genre': '', 'item_id': '417640', 'discounted_price': '$13.99', 'item_url': 'http://store.steampowered.com/app/417640', 'item_name': 'The Expendables 2'}, {'genre': '', 'item_id': '468750', 'discounted_price': '$13.99', 'item_url': 'http://store.steampowered.com/app/468750', 'item_name': 'The Expendables 3'}]",40%
$1.48,http://store.steampowered.com/bundle/1400/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$1.98,El Ninja - Deluxe Edition,1400,"[{'genre': 'Casual, Indie', 'item_id': '509840', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/509840', 'item_name': 'El Ninja'}, {'genre': 'Casual, Indie', 'item_id': '524020', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/524020', 'item_name': 'El Ninja - Soundtrack'}]",25%
$18.40,http://store.steampowered.com/bundle/1471/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$27.47,18 Wheels of Steel Top Payload Pack 2,1471,"[{'genre': 'Simulation', 'item_id': '514160', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/514160', 'item_name': '18 Wheels of Steel: Across America'}, {'genre': 'Simulation', 'item_id': '514170', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/514170', 'item_name': '18 Wheels of Steel: Convoy'}, {'genre': 'Simulation', 'item_id': '514180', 'discounted_price': '$7.49', 'item_url': 'http://store.steampowered.com/app/514180', 'item_name': '18 Wheels of Steel: Haulin’'}]",33%
