bundle_id,item_id,item_name,genre
450,326950,Sword of Asumi,"Adventure, Indie, RPG"
450,331490,Sword of Asumi - Soundtrack,"Adventure, Indie, RPG"
450,331491,Sword of Asumi - Graphic Novel,"Adventure, Indie, RPG"
450,331492,Sword of Asumi - Character Creator,"Adventure, Indie, RPG"
450,348540,Divine Slice of Life,"Adventure, Casual, Indie"
450,352010,Beach Bounce,"Adventure, Casual, Indie"
450,390470,Divine Slice of Life - Soundtrack,"Adventure, Casual, Indie"
450,394050,Beach Bounce - Soundtrack,"Adventure, Casual, Indie"
450,398100,Highschool Romance,"Casual, Indie"
450,408770,Highschool Possession,"Adventure, Indie"
450,387110,Shmup Love Boom,"Action, Casual, Indie"
450,387120,Shmup Love Boom - Soundtrack,"Action, Indie"
450,396610,Quantum Flux,"Action, Indie"
450,396620,Quantum Flux - Soundtrack,"Action, Indie"
1473,528360,Naruto Shippuden Uncut: The Man Who Died Twice,
1473,528361,Naruto Shippuden Uncut: The Worst Three-Legged Race,
1473,528362,Naruto Shippuden Uncut: Team 10's Teamwork,
1473,528363,Naruto Shippuden Uncut: Drive Towards Darkness,
1473,528364,Naruto Shippuden Uncut: The Sixth Hokage Danzo,
1473,528365,Naruto Shippuden Uncut: The Eve of the Five Kage Summit,
1473,528366,Naruto Shippuden Uncut: Enter the Five Kage!,
1473,528367,Naruto Shippuden Uncut: Naruto's Plea,
1473,528368,Naruto Shippuden Uncut: A Painful Decision,
1473,528369,Naruto Shippuden Uncut: Racing Lightning,
1473,528370,Naruto Shippuden Uncut: Sasuke's Ninja Way,
1473,528371,Naruto Shippuden Uncut: Power of the Five Kage,
1473,528372,Naruto Shippuden Uncut: Declaration of War,
1474,528380,Naruto Shippuden Uncut: Sakura's Feelings,
1474,528381,Naruto Shippuden Uncut: The Tailed Beast vs The Tailless Tailed Beast,
1474,528382,Naruto Shippuden Uncut: As One's Friend,
1474,528383,Naruto Shippuden Uncut: Danzo's Right Arm,
1474,528384,Naruto Shippuden Uncut: The Forbidden Visual Jutsu,
1474,528385,Naruto Shippuden Uncut: Danzo Shimura,
1474,528386,Naruto Shippuden Uncut: Sakura's Resolve,
1474,528387,Naruto Shippuden Uncut: Lost Bonds,
1474,528388,Naruto Shippuden Uncut: The Burden,
1474,528389,Naruto Shippuden Uncut: Two Fates,
1474,528390,Naruto Shippuden Uncut: High-Level Shinobi,
1474,528391,Naruto Shippuden Uncut: Infiltrator,
1474,528392,Naruto Shippuden Uncut: The Five Great Nations Mobilize,
1437,476010,Pixel Puzzles Ultimate - Puzzle Pack: Dinosaurs,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,480590,Pixel Puzzles Ultimate - Puzzle Pack: Owls,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,480593,Pixel Puzzles Ultimate - Puzzle Pack: Korea,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,480594,Pixel Puzzles Ultimate - Puzzle Pack: Dogs,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,502841,Pixel Puzzles Ultimate - Puzzle Pack: Mountains,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,509520,Pixel Puzzles Ultimate - Puzzle Pack: Da Vinci,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,509521,Pixel Puzzles Ultimate - Puzzle Pack: Rio,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,509522,Pixel Puzzles Ultimate - Puzzle Pack: Savanna,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,509900,Pixel Puzzles Ultimate - Puzzle Pack: Thailand,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1437,467770,Pixel Puzzles Ultimate - Puzzle Pack: Ukiyo-e,"Casual, Free to Play, Indie, Simulation, Sports, Strategy"
1466,527830,Naruto Shippuden Uncut: Planetary Devastation,
1466,527831,Naruto Shippuden Uncut: Fourth Hokage,
1466,527832,Naruto Shippuden Uncut: The Two Students,
1466,527833,"Naruto Shippuden Uncut: Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 1",
